QuestionID,Question,Answer,Keywords,DifficultyLevel
47,"What are the different HTTP status codes?","HTTP status codes indicate responses, like 200 for success, 404 for not found, and 500 for server error.","HTTP, status codes",Medium
48,"What is Node.js?","Node.js is a runtime for running JavaScript on the server side.","Node.js, runtime, server",Medium
49,"What is the difference between var, let, and const in JavaScript?","var is function-scoped, let and const are block-scoped, and const is immutable.","JavaScript, var, let, const",Medium
50,"What is an API?","An API is a set of rules that allows communication between software programs.","API, communication",Easy
51,"What is the purpose of npm?","npm is a package manager for JavaScript.","npm, package manager, JavaScript",Medium
52,"What is a web server?","A web server stores and delivers web pages to users.","web server, HTTP",Easy
53,"What is the difference between inline and external JavaScript?","Inline JavaScript is embedded in HTML elements, while external JavaScript is stored in separate files.","JavaScript, inline, external",Medium
54,"What is Bootstrap?","Bootstrap is a CSS framework for developing responsive and mobile-first websites.","Bootstrap, CSS framework",Easy
55,"What is the DOMContentLoaded event in JavaScript?","DOMContentLoaded fires when the initial HTML document is loaded and parsed.","JavaScript, DOMContentLoaded",Medium
56,"What are web sockets?","Web sockets enable two-way interactive communication between a browser and a server.","web sockets, communication",Medium
57,"What is a CDN?","A CDN is a network of servers to deliver content faster based on user location.","CDN, content delivery network",Medium
58,"What is the purpose of the <aside> tag in HTML?","<aside> is used for content that is tangentially related to the main content.","HTML, aside, content",Medium
59,"What is the difference between <ol> and <ul> in HTML?","<ol> creates an ordered list, and <ul> creates an unordered list.","HTML, list, ordered, unordered",Easy
60,"What is the z-index in CSS?","z-index determines the stack order of elements.","CSS, z-index",Medium
61,"What is the difference between HTTP and HTTPS?","HTTPS is HTTP with encryption for secure communication.","HTTP, HTTPS, secure",Medium
62,"What is the purpose of the <link> tag in HTML?","<link> is used to link external resources, like stylesheets.","HTML, link, resources",Easy
63,"What is a session in web development?","A session is a way to store user data across multiple pages.","session, user data",Medium
64,"What is the purpose of the <article> tag in HTML?","<article> represents self-contained content.","HTML, article",Easy
65,"What are service workers in web development?","Service workers run in the background and enable offline functionality.","service workers, offline, background",Hard
66,"What is the difference between a static and dynamic website?","Static websites serve the same content, while dynamic websites generate content based on user interaction.","static, dynamic, website",Medium
67,"What is the difference between PUT and PATCH HTTP methods?","PUT updates a resource entirely, while PATCH applies partial updates.","HTTP, PUT, PATCH",Hard
68,"What is the purpose of the <main> tag in HTML5?","<main> specifies the main content of a document.","HTML5, main",Easy
69,"What is the Content Security Policy (CSP)?","CSP helps prevent cross-site scripting and data injection attacks.","CSP, security, XSS",Hard
70,"What is the purpose of the <time> tag in HTML?","<time> represents a specific point in time.","HTML, time",Medium
71,"What is a framework?","A framework is a platform for developing applications with pre-written code.","framework, platform",Medium
72,"What is the difference between a tag and an attribute in HTML?","A tag defines an element, while an attribute provides additional information.","HTML, tag, attribute",Easy
73,"What is the purpose of the <figure> tag in HTML?","<figure> is used to group media and captions.","HTML, figure, media, captions",Medium
74,"What is a CSS variable?","A CSS variable stores reusable values throughout a stylesheet.","CSS, variable",Medium
75,"What is an event listener in JavaScript?","An event listener is a function that waits for and responds to events.","JavaScript, event listener",Medium
76,"What is a promise in JavaScript?","A promise represents a value that may be available in the future.","JavaScript, promise",Medium
77,"What is a shadow DOM?","Shadow DOM provides encapsulated DOM and styling for web components.","shadow DOM, encapsulation",Hard
78,"What is the purpose of the <code> tag in HTML?","<code> is used to define a piece of computer code.","HTML, code",Easy
79,"What is TypeScript?","TypeScript is a superset of JavaScript that adds static typing.","TypeScript, JavaScript, static typing",Medium
80,"What is the difference between frontend and backend development?","Frontend development deals with the user interface, while backend focuses on server-side logic.","frontend, backend, development",Medium
81,"What is WebAssembly?","WebAssembly is a binary instruction format for a stack-based virtual machine.","WebAssembly, binary, virtual machine",Hard
82,"What is an iframe in HTML?","An iframe is used to embed another HTML document within a page.","HTML, iframe, embed",Easy
83,"What is the purpose of the <abbr> tag in HTML?","<abbr> is used to define an abbreviation or acronym.","HTML, abbr, abbreviation",Medium
